figure	panel	source_file	plotting_script	scientific_upstream_stage	recomputes_descriptive_plotting_statistics
Figure5	e	figure_5e_module_timecourse.tsv	scripts/extended_pipeline/50_build_figures_part2.R	GSE337039 raw-read independent validation	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure5	f	figure_5f_module_interaction_effects.tsv	scripts/extended_pipeline/50_build_figures_part2.R	GSE337039 raw-read independent validation	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure6	a	figure_6a_priority_alignment_ranges.tsv	scripts/extended_pipeline/53_plot_virtual_perturbation.R	Frozen dynamic-network/perturbation tables	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure6	b	figure_6b_model_concordance.tsv	scripts/extended_pipeline/53_plot_virtual_perturbation.R	Frozen dynamic-network/perturbation tables	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure6	c	figure_6c_module_displacement.tsv	scripts/extended_pipeline/53_plot_virtual_perturbation.R	Frozen dynamic-network/perturbation tables	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure6	d	figure_6d_leave_one_prediction.tsv	scripts/extended_pipeline/53_plot_virtual_perturbation.R	Frozen dynamic-network/perturbation tables	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
FigureS1	a	figure_S1a_go_annotation_coverage.tsv	scripts/extended_pipeline/50_build_figures_part2.R	Frozen GO audit/enrichment and brown-module robustness	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
FigureS1	b	figure_S1b_go_enrichment_tests.tsv	scripts/extended_pipeline/50_build_figures_part2.R	Frozen GO audit/enrichment and brown-module robustness	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
FigureS1	d	figure_S1d_brown_module_stability.tsv	scripts/extended_pipeline/50_build_figures_part2.R	Frozen GO audit/enrichment and brown-module robustness	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
FigureS2	a	figure_s2a_effect_size_distribution.tsv	scripts/extended_pipeline/53_plot_virtual_perturbation.R	Frozen perturbation robustness/boundaries	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
FigureS2	b	figure_s2b_fold_priority_alignment.tsv	scripts/extended_pipeline/53_plot_virtual_perturbation.R	Frozen perturbation robustness/boundaries	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
FigureS2	c	figure_s2c_stable_scenarios.tsv	scripts/extended_pipeline/53_plot_virtual_perturbation.R	Frozen perturbation robustness/boundaries	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
FigureS2	d	figure_s2d_evidence_gates.tsv	scripts/extended_pipeline/53_plot_virtual_perturbation.R	Frozen perturbation robustness/boundaries	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure4	a	module_randomset_validation_v2.csv	scripts/method_revision_v2/plot_figure4_full_v2.R	method_revision_v2 final random-set/Stouffer; retained contextual projection for panels c/d	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure4	b	module_randomset_null_full_v2.csv	scripts/method_revision_v2/plot_figure4_full_v2.R	method_revision_v2 final random-set/Stouffer; retained contextual projection for panels c/d	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure4	e	stouffer_meta_v2.csv	scripts/method_revision_v2/plot_figure4_full_v2.R	method_revision_v2 final random-set/Stouffer; retained contextual projection for panels c/d	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
Figure4	e	stouffer_leave_one_dataset_out_v2.csv	scripts/method_revision_v2/plot_figure4_full_v2.R	method_revision_v2 final random-set/Stouffer; retained contextual projection for panels c/d	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
FigureS1	c	figure_S1b_go_enrichment_tests.tsv	scripts/extended_pipeline/50_build_figures_part2.R	Frozen GO audit/enrichment and brown-module robustness	YES_OR_STAGE_DEPENDENT; archived source tables preferred; not executed during packaging
